"ID",Isolate Number,HN,Unit,Species,Breed,Sex,Submitted sample,Method of collection,Methods,Vitek card lot,Bacterial species identification,Counting (CFU/mL),ESBL,Ampicillin,ampicillin_,Amoxicillin/clavulanic acid,amoxicillin/clavulanic acid_,Cephalexin,cephalexin_,Cefalothin,cefalothin_,Cefpodoxime,cefpodoxime_,Cefovecin,cefovecin_,Ceftiofur,ceftiofur_,Imipenem,imipenem_,Amikacin,amikacin_,Gentamicin,gentamicin_,Neomycin,neomycin_,Enrofloxacin,enrofloxacin_,Marbofloxacin,marbofloxacin_,Pradofloxacin,pradofloxacin_,Doxycycline,doxycycline_,Tetracycline,tetracycline_,Nitrofurantoin,nitrofurantoin_,Chloramphenicol,chloramphenicol_,Sulfamethoxazole/trimethoprim,sulfamethoxazole/trimethoprim_,Specific resistance phenotype,Interpretation and recommendation
11,M49/2566,6510471,ศัลยกรรม,Dog,Shetland Sheepdog,Male,pus from dorsal tail abscess,NA,Vitek/MALDI,GN-AST,Pseudomonas aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,S,<=2,S,<=1,S,NA,NA,1,I,<=0.5,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pseudomonas aeruginosa,"-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Marbofloxacin 5.5-11 mg/kg q24h SC, IV (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Amikacin 15 mg/kg q24h SC, IM for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็น
        การติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หาก
        สุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)"
12,M53/2566,6515151,แผนกสูติกรรม,Dog,Mixed breed,Male,PG cyst,NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,POS,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,<=1,S,16,I,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,<=16,S,>=64,R,>=320,R,ESBL-producing Escherichia coli,"-	 ยาต้านจุลชีพที่แนะนำ ได้แก่
     o 	Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for 6-8 weeks หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์"
13,M51/2566,6200086,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Chihuahua,Male,urine,NA,Vitek/MALDI,GN-AST,Escherichia coli,1.0x10^3,NEG,>=32,R,8,S,8,S,8,S,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,1,I,>=16,R,>=16,R,<=16,S,<=2,S,>=320,R,,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์"
14,M52/2566,5605741,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Dog,Golden Retriever,Male,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,>=32,R,4,S,16,S,32,R,2,S,1,S,2,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,2,S,8,I,32,S,16,I,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        1-2 สัปดาห์ 
     o 	Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
15,M54/2566,6210180,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Pomeranian,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,<=2,S,<=2,S,8,S,4,I,<=0.25,S,<=0.5,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,2,S,<=16,S,16,I,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
- 	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        1-2 สัปดาห์ 
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
16,M57/2566,6114808,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Mixed breed,Female,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,POS,>=32,R,8,S,16,S,32,R,1,*R,<=0.5,S,<=1,S,1,S,16,R,2,S,<=2,S,>=4,R,>=4,R,>=4,R,1,S,2,S,<=16,S,4,S,<=20,S,ESBL-producing Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์"
17,M56/2566,5507660,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Cat,Domestic Shorthair (DSH),Male,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,2.0x10^3,POS,>=32,R,8,S,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,>=16,R,<=2,S,>=4,R,>=4,R,>=4,R,<=0.5,S,<=1,S,<=16,S,<=2,S,>=320,R,ESBL-producing Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o	 Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์
- 	ในกรณีนี้ไม่แนะนำให้ใช้ amoxicillin/clavulanic acid ถึงแม้เชื้อจะแสดงความไวรับ เนื่องจากค่า mic สูง ต้องให้ยาถี่มาก (25 mg/kg อย่างน้อยทุก 4 ชั่วโมง) เพื่อรักษาระดับยาในเลือดให้สูงกว่า mic ไม่น้อยกว่า 50% ของระยะห่าง (ความถี่) ในการให้ยา ซึ่งไม่สะดวกต่อเจ้าของสัตว์"
18,M64/2566,6514299,ห้องผ่าตัด,Cat,Mixed breed,Female,surgical site at Rt face,NA,Vitek/MALDI,GN-AST,Acinetobacter baumannii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=0.25,S,NA,NA,<=1,S,NA,NA,<=0.12,S,<=0.5,S,NA,NA,<=0.5,S,<=1,S,NA,NA,NA,NA,<=20,S,Acinetobacter baumannii,"-	 แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
-	 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Doxycycline 5 mg/kg q12h หรือ 10 mg/kg q12-24h PO PC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Enrofloxacin 5 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่
        เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o 	Marbofloxacin 5.5-11 mg/kg q24h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ใน
        กรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
19,M65/2566,6600275,หน่วยเวชศาสตร์ฉุกเฉิน,Cat,Domestic Shorthair (DSH),Male,Hemoculture,NA,Vitek/MALDI,GN-AST,Serratia nematodiphila,NA,NA,NA,NA,>=32,R,>=64,R,>=64,R,NA,NA,1,S,2,S,NA,NA,<=2,S,<=1,S,<=2,S,2,I,<=0.5,S,2,R,>=16,R,>=16,R,>=512,R,>=64,R,<=20,S,Serratia nematodiphila,"-	 การติดเชื้อในเลือดจัดเป็น medical emergency มีอันตรายและความเสี่ยงที่ทำให้เกิดการติดเชื้อทั่วร่างกาย จำเป็นต้องใช้ยาต้านจุลชีพตามระบบ แนะนำให้ใช้ยาฉีดมากกว่ายากิน ซึ่งยาที่แนะนำ ตามลำดับ ได้แก่
     o 	Marbofloxacin 5.5-11 mg/kg q24h SC, IV (หรือ PO AC ขึ้นกับความรุนแรงของอาการ) for at least 7 d หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Amikacin 15 mg/kg q24h SC, IM for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็น
        การติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หาก
        แมวมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o	 Gentamicin 6 mg/kg q24h SC, IM for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็น
        การติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง (ควร monitor ไตและภาวะแห้งน้ำของแมว ไม่ควรใช้ยานี้หาก
        แมวมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น)
     o (หากอาการไม่รุนแรง) 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for at least 7 d หรือให้ยาต่อเนื่องจน
        อาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
20,M71/2566,6600435,หน่วยอายุรกรรมทั่วไปและเวชศาสตร์ป้องกัน,Dog,Shih Tzu,Female,urine,catheterization,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,8,R,<=2,S,16,S,16,S,0.5,S,1,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,<=0.12,S,<=0.5,S,<=0.12,S,1,S,2,S,<=16,S,4,S,<=20,S,Escherichia coli,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        1-2 สัปดาห์ 
     o 	Cephalexin 30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
21,M68/2566,,,Dog,Pomeranian,Male,Bile,NA,Vitek/MALDI,GN-AST,Escherichia coli,NA,POS,>=32,R,8,R,>=64,R,>=64,R,>=8,R,>=8,R,>=8,R,<=0.25,S,<=2,S,>=16,R,<=2,S,>=4,R,>=4,R,>=4,R,1,S,<=1,S,<=16,S,16,I,<=20,S,ESBL-producing Escherichia coli,"- Eschrichia coli เป็นเชื้อประจำถิ่นในลำไส้ ในกรณีจึงอาจเกิดจากการปนเปื้อนมายังตัวอย่างหรืออาจเป็นการติดเชื้อก็ได้ จึงจำเป็นต้องวินิจฉัยยืนยันร่วมกับการตรวจทางคลินิกอื่น เช่น รอยโรคจากภาพวินิจฉัย การตรวจเซลล์พบการอักเสบและแบคทีเรีย gram-negative bacilli เป็นต้น
- ในกรณีที่เป็นการติดเชื้อ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
     o	 Doxycycline 5 mg/kg q12h หรือ 10 mg/kg q12-24h PO PC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง"
22,M66/2566,6503052,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,American Bully,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Klebsiella pneumoniae,>10^5,NEG,>=32,R,>=32,R,>=64,R,>=64,R,>=8,R,>=8,R,4,I,1,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,>=4,R,>=16,R,>=16,R,32,S,>=64,R,>=320,R,Klebsiella pneumoniae,"- 	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Nitrofurantoin 5 mg/kg q8h PO PC for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Amikacin 15 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o	 Gentamicin 6 mg/kg q24h SC, IM for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
        (ควร monitor ไตและภาวะแห้งน้ำของสุนัข ไม่ควรใช้ยานี้หากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากจะทำให้เกิด
        ความเป็นพิษต่อไตมากขึ้น)
     o	 Imipenem 10 mg/kg q8h IV infusion over 20-60 minutes for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และ
        ให้ยาต่อไปอีก 1-2 สัปดาห์"
23,M84/2566,5811016,คลินิกไต/หัวใจ/ต่อมไร้ท่อ,Dog,Shih Tzu,Male,urine,cystocentesis,Vitek/MALDI,GN-AST,Escherichia coli,>10^5,NEG,8,S,4,S,8,S,4,S,<=0.25,S,1,S,<=1,S,<=0.25,S,<=2,S,<=1,S,<=2,S,>=4,R,>=4,R,>=4,R,1,S,2,S,<=16,S,4,S,<=20,S,Escherichia coli,"-	 จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
-	 ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
     o 	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 
        1-2 สัปดาห์ 
     o 	Cephalexin 25-30 mg/kg q8h PO for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
     o	 Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยา
        ต่อไปอีก 1-2 สัปดาห์
     o 	Cefovecin 8 mg/kg SC once อาจให้ซ้ำได้อีก 1 ครั้งหลังจากให้เข็มแรก 7-14 วัน หากอาการยังไม่หายสนิท"
